Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 1,Esn 1,Device Type 4,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-01T09:32:16.028Z,2022-11-07T12:57:43.624Z,2022-04-23T10:32:15.512Z,2022-04-23T13:44:09.084Z,2022-04-23T10:32:15.512Z,2022-04-23T13:44:09.084Z,
User 4,Esn 44,Device Type 3,2021-11-30T06:39:57.423Z,2022-03-07T07:26:14.248Z,2021-11-30T06:48:08.601Z,2022-03-07T07:08:55.404Z,2021-11-30T06:39:57.423Z,2022-03-07T07:26:14.248Z,2021-11-30T06:48:08.601Z,2022-03-07T07:08:55.404Z,
User 1,Esn 15,Device Type 7,2021-10-30T03:03:59.713Z,2022-01-01T10:01:39.324Z,2021-10-30T03:03:59.713Z,2022-01-01T08:57:31.894Z,2021-12-11T13:51:00.136Z,2022-01-01T10:01:39.324Z,2021-12-11T13:53:59.936Z,2022-01-01T08:57:31.894Z,
User 1,Esn 12,Device Type 6,2021-12-16T15:14:31.948Z,2022-06-19T12:04:22.627Z,2021-12-16T15:14:43.440Z,2022-06-19T12:02:51.116Z,2021-12-16T15:14:31.948Z,2021-12-27T16:07:23.508Z,2021-12-16T15:14:43.440Z,2021-12-27T16:07:23.508Z,
User 0,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,,,,,
User 1,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,,,,,
User 4,Esn 10,Device Type 1,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,1970-01-01T00:00:00.000Z
User 4,Esn 34,Device Type 0,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,1970-01-01T00:00:00.000Z
User 4,Esn 48,Device Type 0,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,2021-11-03T15:26:51.927Z,2021-12-15T15:29:15.823Z,1970-01-01T00:00:00.000Z
User 1,Esn 10,Device Type 1,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,
